	OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES	97011020	441 	131 
		97019020	130 	176 
		97030000	30 	18 
	OTRAS MANUFACTURAS DE METALES COMUNES	73084000	11,990 	1,403 
		73089000	462,339 	53,427 
		73102990	112 	13 
		73110090	195 	4 
		73121000	46,215 	5,494 
		73129000	2,000 	234 
		73194090	15 	9 
		73199090	15 	9 
		73239390	15 	9 
		73239990	950 	710 
		73269000	44,376 	5,190 
		83011000	84 	10 
		83012000	70 	2 
		83062900	15 	2 
	OTROS ACEITES ESENCIALES	33012990	426,261 	3,763 
	OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	06029090	44,458 	1,358 
		09019000	41,327 	7,768 
		13019090	17 	24 
	PAPEL Y CARTON	47071000	376,188 	2,436,505 
		48064000	3 	1 
		48081000	89,513 	580,383 
	PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	26169010	1,473,564 	224,400 
	PIMIENTA	09041100	745,510 	377,597 
		09041200	74,645 	22,105 
		09042100	20,675 	2,300 
	PINTURAS Y BARNICES	32041100	132 	16 
	PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA	12119090	1,574,147 	558,924 
	PREPARADOS A BASE DE CEREALES	19049090	1 	43 
	PREPARADOS DE FRUTAS	08140000	297,473 	247,961 
		20087000	1 	18 
	PREPARADOS DE LEGUMBRES Y HORTALIZAS	20019090	415,474 	192,292 
	PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS	33049900	10 	46 
		33074100	150 	20 
	PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	28044000	1,227 	91 
		28273200	173 	2 
		29163990	65,986 	762 
		34031900	5 	1 
	PRODUCTOS FARMACEUTICOS	29392090	245,200 	125,880 
		30049091	1,146 	62 
		30065000	771 	1 
	PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	37019900	15 	1 
	ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O	57019000	130 	53 
		57050000	85 	44 
		63013000	1 	1 
		63021000	10 	46 
		63022100	40 	10 
